color,r,g,b
green_neutral_evolution,0.3600153787004998, 0.7161860822760476, 0.6655132641291811
silver_unrelated_sequences,0.7529411764705882, 0.7529411764705882, 0.7529411764705882
blue_directed_evolution_min,0.21299500192233756, 0.5114186851211073, 0.730795847750865
red_directed_evolution_max,0.8141484044598232, 0.21968473663975394, 0.3048058439061899
yellow_optimal_n_at, 0.9817762399077278, 0.6073817762399076, 0.3457900807381776
measured_grey, 0.8328950403690888, 0.8328950403690888, 0.8328950403690888
predicted_grey, 0.22329873125720878, 0.22329873125720878, 0.22329873125720878
